first_name,second_name,web_name,team,minutes,goals_scored,assists,clean_sheets,total_points,form,ict_index,influence,creativity,threat,now_cost,selected_by_percent
Fábio,Ferreira Vieira,Fábio Vieira,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54,0.0
Gabriel,Fernando de Jesus,G.Jesus,1,600,3,2,2,42,0.0,52.6,154.4,119.5,255.0,65,1.0
Gabriel,dos Santos Magalhães,Gabriel,1,2363,3,2,10,117,0.0,108.2,584.6,208.8,287.0,61,12.2
Kai,Havertz,Havertz,1,1872,9,3,7,97,0.0,144.8,467.6,269.0,711.0,77,6.2
Karl,Hein,Hein,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Jurriën,Timber,J.Timber,1,2415,1,3,11,114,0.0,94.2,393.0,296.8,254.0,55,4.3
Jorge Luiz,Frello Filho,Jorginho,1,701,0,0,2,20,0.0,14.2,44.8,88.8,8.0,46,0.2
Jakub,Kiwior,Kiwior,1,1117,1,0,3,43,0.0,39.2,267.2,91.3,32.0,49,3.8
Gabriel,Martinelli Silva,Martinelli,1,2284,8,4,10,125,0.0,206.1,559.8,587.8,912.0,65,3.1
Ethan,Nwaneri,Nwaneri,1,882,4,2,4,66,0.0,83.0,293.2,282.8,255.0,43,1.5
Martin,Ødegaard,Ødegaard,1,2321,3,9,11,116,0.0,198.8,524.6,968.7,493.0,82,5.7
David,Raya Martin,Raya,1,3420,0,0,13,142,0.0,76.7,755.4,10.7,0.0,56,32.6
Declan,Rice,Rice,1,2823,4,7,11,127,0.0,208.8,733.0,959.6,399.0,63,4.2
Bukayo,Saka,Saka,1,1724,6,11,7,127,0.0,227.9,606.0,842.8,830.0,104,20.2
William,Saliba,Saliba,1,3039,2,0,12,130,0.0,94.2,672.6,150.1,116.0,64,25.8
Thomas,Partey,Thomas,1,2793,4,3,9,108,0.0,123.2,626.6,377.9,223.0,49,0.7
Kieran,Tierney,Tierney,1,250,1,0,1,27,0.0,25.0,91.8,109.1,48.0,43,0.1
Tomiyasu,Takehiro,Tomiyasu,1,6,0,0,0,1,0.0,1.0,0.4,0.3,9.0,48,0.0
Leandro,Trossard,Trossard,1,2546,8,8,11,152,0.0,202.1,609.0,617.6,798.0,67,4.5
Benjamin,White,White,1,1195,0,2,5,50,0.0,51.0,247.6,162.6,100.0,62,4.4
Oleksandr,Zinchenko,Zinchenko,1,518,0,1,4,40,0.0,24.1,83.4,92.8,66.0,48,0.9
Norberto,Murara Neto,Neto,1,180,0,0,0,7,0.0,7.8,77.8,0.0,0.0,41,0.7
Raheem,Sterling,Sterling,1,490,0,2,1,26,0.0,31.3,67.2,125.5,122.0,67,0.8
Riccardo,Calafiori,Calafiori,1,978,2,1,1,39,0.0,54.6,252.6,118.2,176.0,58,1.5
Myles,Lewis-Skelly,Lewis-Skelly,1,1362,1,0,5,37,0.0,40.0,176.0,170.7,57.0,45,0.4
Mikel,Merino,Merino,1,1575,7,2,4,92,0.0,123.3,456.8,265.8,511.0,60,1.5
Salah-Eddine,Oulad M'hand,Oulad M'hand,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Tommy,Setford,Setford,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.1
Maldini,Kacurri,Kacurri,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Ismeal,Kabia,Kabia,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Josh,Nichols,Nichols,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.1
Nathan,Butler-Oyedeji,Butler-Oyedeji,1,6,0,0,0,1,0.0,2.0,3.0,0.0,17.0,45,0.2
Mikel,Arteta,Arteta,1,0,0,0,0,104,0.0,0.0,0.0,0.0,0.0,15,9.0
Jack,Porter,Porter,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Jimi,Gower,Gower,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
