matchweek,date,kickoff_time,home_team,away_team,broadcaster
,2025-08-15,2025-08-15 20:00,Liverpool,AFC Bournemouth,Sky Sports
,2025-08-16,2025-08-16 12:30,Aston Villa,Newcastle United,TNT Sports
,2025-08-16,2025-08-16 17:30,Wolverhampton Wanderers,Manchester City,Sky Sports
,2025-08-17,2025-08-17 14:00,Chelsea,Crystal Palace,Sky Sports
,2025-08-17,2025-08-17 14:00,Nottingham Forest,Brentford,Sky Sports
,2025-08-17,2025-08-17 16:30,Manchester United,Arsenal,Sky Sports
,2025-08-18,2025-08-18 20:00,Leeds United,Everton,Sky Sports
14.0,2025-08-18,2025-08-18 20:00,Liverpool,Sunderland,
14.0,2025-08-18,2025-08-18 20:00,Manchester United,West Ham United,
21.0,2025-08-18,2025-08-18 20:00,Crystal Palace,Aston Villa,
21.0,2025-08-18,2025-08-18 20:00,Manchester City,Brighton & Hove Albion,
26.0,2025-08-18,2025-08-18 20:00,Aston Villa,Brighton & Hove Albion,
26.0,2025-08-18,2025-08-18 20:00,Crystal Palace,Burnley,
26.0,2025-08-18,2025-08-18 20:00,Manchester City,Fulham,
29.0,2025-08-18,2025-08-18 20:00,Aston Villa,Chelsea,
29.0,2025-08-18,2025-08-18 20:00,Manchester City,Nottingham Forest,
